"geneSym","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76"
"FBXO34",25.9411905414285,35.9842480945045,34.1718544522627,29.4981087229918,42.663090894868,38.6461612841591,38.6995954279774,42.2363177031466,39.2702562439058,29.8913323293782,39.4197118037542,42.3529242667507,45.415067206679,41.6231308477851,39.2375984317997,31.8900329846353,35.0501834082737,35.2869000245399,31.5122186834463,38.011351839994,33.9818295762324,38.0178948405507,36.7180037645534,38.529620875846,40.4481384991761,15.814392566907,20.054837553465,26.9645947389014,41.4063155421007,40.9738653081032,48.0679005645192,43.2563311096708,36.612801724847,43.8536017884872,35.3407968795986,45.2310210106692,27.9772061888218,33.7650364506332,46.3159947374582,33.2448327428376,37.6310287203672,35.151587030456,38.5747068513367,39.7826167910986,42.2347712023244,36.6102223149666,37.0447743982878,28.469955392537,37.1851487002415,17.5791394271766,32.54803018007,25.4473782373505,35.5852781723763,48.6729805636177,41.6977905877978,30.5203486268539,35.2440266816183,47.086900585655,43.750108971807,37.6310287203672,39.0075647538997,43.9069315063852,32.7269486972049,44.1192404860474,49.2826598211994,43.2155141202336,43.6686104690833,37.2936661631826,39.6377815286724,42.8630267257553,34.2467743322786,43.2595765117158,43.2259546408373,31.4756413762378,36.2707498675706,39.8383572587971
"PRPF18",61.5938413775685,89.8600993313599,104.291341120396,92.1337909763497,72.4126918473083,86.4030988063533,87.0003806255864,72.0787431079083,77.8653529605997,90.3445035589408,87.7048110203396,90.1502123884566,91.822180086126,77.7839573526388,83.483513938865,85.3223172011134,89.0981991632759,80.9001512796327,96.5818493896779,83.4073936061772,84.0608824146997,73.574156387205,84.7546161987407,88.8212686307916,78.1027634223259,46.0679488216587,56.6704969918494,62.1162568774047,69.9574150582966,78.0296296354327,70.1772496115638,86.7138478153824,77.6186364166036,70.8934047989323,85.5279310634865,86.5772875765129,79.9957193349961,95.9177501549393,71.8253505445956,86.8167842340918,90.4292809823962,88.5870886527549,79.8433609415655,92.0385809977457,72.3918782153263,91.4669502594735,76.2202966186047,87.9195979097496,78.3044119793001,92.1967456733833,85.8452817639987,68.5208177239998,76.5630668400324,69.0141559862144,77.2871578395837,74.7146632856161,83.0943887583724,68.8596815221923,73.2366401802828,82.7706027436913,68.8700061770182,83.9762554331321,91.9682639014945,93.9738185334492,76.1681299769518,104.540933512162,75.8541276279031,86.9569248050341,89.8699757946054,83.5147375366309,82.484451641681,71.5350612497871,81.2271704618175,95.5308848247231,64.8703869301684,96.500571319134
"TBCA",567.759052945861,661.534592412594,680.829798080917,599.214028672271,576.543702615888,537.194839842954,581.462217746085,474.138891923429,590.326946640739,593.92234516674,486.969203533312,562.892300197855,522.223843368021,580.466156564583,678.823754984104,642.026366753663,646.411233450313,530.543713959336,681.557984454166,570.278957605805,624.289983070332,546.888654628846,599.354149407577,669.848062063175,602.672309866162,461.201178175432,525.019628795945,511.503646255219,533.323935960381,527.710922295759,484.071712487126,633.78572323466,565.446529621318,590.522134023407,543.658428784414,558.549481921388,628.928892139203,649.717349409075,493.038566021407,600.294374495533,612.952192750733,637.028041832828,493.646129532247,601.620833358941,610.465571395555,534.266235500253,563.070446587081,617.38326515999,678.56938558124,513.870777357072,654.339292430047,591.697498870174,611.205763896317,524.543978102807,625.40537184207,575.824485826427,661.90118343634,499.360324259971,491.952084806189,585.857710817706,535.23563630598,595.421578594774,604.640390743115,589.726140258397,558.022345862075,563.526516542681,517.559108787275,656.177325374106,566.229643278627,538.447094840705,590.072978387171,491.575761751978,546.980118924576,576.469488004184,455.389540515632,555.659205224111
"SYT11",6.11332319403976,4.09770166735184,3.91778852827616,4.33703482928824,3.1320669905651,3.59776353360192,3.46631946212862,3.51612283631281,4.01538298268727,3.71345295060751,3.14189428197389,3.5098093025662,3.77835911212533,3.9070121630468,4.06277853518047,3.85189328895845,3.8470377728657,3.4106367192944,3.40174083074791,3.56118109988916,3.81016749831186,3.0097054702689,4.29074247354233,4.17215779749408,4.41981894466882,4.00423157297783,3.62619485899792,3.38690026779562,3.44784813469868,3.33910922846994,3.22772181148576,3.87613196727852,3.7508053165577,3.95913035702106,4.10351007572101,3.74456755546712,3.15928261731895,3.65506381646755,3.69067103055573,3.57664945634329,3.61139261390877,3.96225192377952,3.69067103055573,3.768836139125,3.96812256293568,3.48197003465661,3.49790146543867,3.37070273517298,3.25821875716372,4.30599704168164,3.56729119893728,3.27212021224378,3.65856755299999,3.86781982546424,3.4727823934003,3.07554041682854,4.84913300216723,3.31241786293698,4.13532743822111,3.96894489251664,4.49996549212061,3.89293361764527,3.33734062194014,3.43580735020266,3.60737984687307,3.71630607326853,3.77124399191997,3.39305717954336,4.03437925990848,3.59933112524698,3.51728849055384,3.3282207397995,4.56749353792814,3.84012778935516,3.65238734182921,3.84609506517626
"CES5A",4.47214189571626,4.50367159031419,4.48174959204273,4.51150516937296,4.03238840514394,4.00724481307236,3.93208635170106,4.88093398200095,5.81131923523352,5.35122040739986,5.5451160403216,5.39541139119257,4.37549992267868,4.69612662108043,4.8645895899616,4.81682846017792,4.74868545143176,4.11348641973161,4.17482215371696,4.26268811531572,3.62398561471656,3.53772552602505,3.82006747877706,3.54298712518544,6.48301004098461,4.34628960575707,3.87417849875009,4.04999302056556,7.43885295227322,5.9314981444931,5.27699758293645,7.03670732131242,5.82322148060375,4.61406479347332,4.43234698930403,4.3765300634995,4.51889685762414,5.56307805015597,4.53741791042838,4.60062960950823,4.10356808755127,4.03534181545698,4.61745880710424,4.24521475165077,4.72069691941734,4.56531808774186,3.72748048355987,4.82051311919888,5.11964676293907,5.70129522797391,6.42942994267733,7.82316849889443,5.26138114827181,4.59051930464634,6.40242878359109,4.91076561546811,4.57835888142732,3.98521248756154,4.36388194791824,5.05489515941117,4.69402373369583,5.77278854758636,4.49471748190252,4.10977145087694,4.36930754606206,5.21332638571545,4.56074523068956,4.26533768874998,3.8829146940202,4.0619710632294,4.67525274605599,4.85809062577128,6.02609406058138,4.9279329622995,4.24293709831542,4.96365561366702
"MMRN1",4.22251231681671,3.96873929599768,3.80756669204955,4.81531358350545,4.03672665431129,4.05409027826115,3.97553309540221,3.57398350408613,4.56757002714899,3.77848325858983,3.45505487947743,3.49770988246863,4.29210768815404,4.09611452076571,4.19359543433815,3.3372311487463,4.07835726045904,4.36031910647188,3.74014952191488,3.73699917733986,4.5826475254759,3.93245140770209,4.45530207371866,4.1486039877615,3.96873929599768,3.81316400410644,4.55269291751131,4.39271391728733,3.32080620627435,3.25820154197381,4.42141760897609,3.55398255236029,4.00444592072164,3.63063709393958,4.07275756072637,4.17510613550131,3.59987560426878,3.94612925257075,3.30319269264139,3.96873929599768,3.33466800507562,3.72325844160726,3.43644603816686,3.48812866793868,4.68995947416846,3.6064528662387,4.13627584730811,3.78550436845931,3.57169235068109,4.37783045070682,4.27720033904706,3.70643011082385,4.08904260241363,3.43388761072526,4.23697250343447,3.98521248756154,3.85117642852011,4.3012776831593,4.42461727407204,3.88388983775166,4.44573827658798,4.45867687672755,3.86132721725889,3.55797119125381,4.23494716688586,3.62703449086468,3.79062624971952,4.06460435855638,4.24973359412617,3.67040935341347,3.95709863662451,4.47925569258271,4.76078381097403,3.96873929599768,3.80483634987709,4.27308071345411
"RAB10",476.979609326004,650.304740837703,747.120777686873,624.095339954882,627.685638469251,664.39449768355,606.253743084488,729.762618347002,665.670218555206,620.007669758286,735.528045309514,721.757076039823,638.829351201814,623.932817577708,690.539143295159,587.065813181915,598.674069556426,817.18170094495,920.987001786419,739.891971609937,634.23675715578,617.084408424901,581.729386850938,650.720613871112,587.952357757063,470.07297838717,515.621459664867,589.56584814105,696.169741322041,701.438549182733,584.642416663313,794.391363698721,566.952827396045,635.115521357222,565.935369269537,614.260320391101,537.10397015595,629.105463115152,623.589981688293,631.922130330475,616.800415403054,601.882245484684,595.902464697813,657.8267764736,545.025490031421,565.638110238503,623.989434392413,651.961218636625,624.432860880698,627.685638469251,655.085280161283,613.148701170287,672.193609928728,663.440928537242,598.92757598205,560.01639321096,833.942175925185,664.775101213858,617.557787586638,651.469372865901,585.873003871076,612.082878109086,629.662391615341,533.901835242193,644.153318919569,560.478257966485,617.073945274415,917.974655932649,563.657313422199,534.795182922348,642.406259458141,584.512060292816,600.774136710409,594.562901673935,648.241413588474,622.849694188236
"GRK4",4.9399278376095,4.73191546216746,5.95988660713894,5.82597192778188,5.78464925995629,6.06244665256699,5.73287351564008,5.94815464826798,6.59875333416801,4.77730153064226,8.18240204645038,5.52120180084779,5.61121512622026,5.5816545141814,6.3598330511546,5.64429878358347,4.2408814581214,6.20139045167613,5.61711113832227,5.5071323071717,5.6849034120876,5.73997289333056,6.03096995036537,4.94217414924702,6.24663733247191,4.05282825256879,4.44228613646858,5.38397356334345,5.3430558020607,6.57040993651854,7.01860706540993,8.94802505490958,8.29964062210821,7.00790917284485,5.2285407426369,5.38722111426192,6.43427482370555,6.59040655740484,6.62546530222619,8.58363512708254,4.32126066456272,4.89413079835334,5.18567743576428,5.02213540343416,6.45320163321824,8.15353857720998,5.27190198681548,5.51311731406726,4.34293371227127,6.38166626642758,6.36957103727001,4.60791272583944,5.7603347495322,5.91320579258245,5.9801445239781,4.68236629140273,4.25821398895043,5.14487800599088,5.58291393556992,5.66560235014175,6.21534560763352,4.75157563117295,4.35177383535882,5.49699570917971,4.04865798321564,5.58142882647894,6.41642795637068,5.098086055686,4.31707121449402,7.09266691652535,5.94521229978328,5.73287351564008,4.19193298310415,5.73287351564008,6.85257297206797,6.00659277446333
"PPP2R3C",14.2742807982655,18.4268911341094,22.9664522131048,20.6650279782192,19.3325396460124,15.56703970602,16.790618567674,14.1761952652611,17.3670124281115,26.9032062801314,19.8694637213302,16.3358076032598,19.3446284900145,20.4934210935197,19.1902596019026,17.1207298242219,17.3087054632081,23.2421976351574,18.6697242577308,18.6395765085614,16.2745369810921,14.958776604191,16.0640447727222,15.9303906225675,13.5135987060363,16.1527372290092,21.7429503009103,16.7769517020119,18.0194824228385,14.3106439148585,17.4748890041226,18.0895400350737,25.3144997930272,30.1488302505142,23.867731726307,19.0485719829412,23.5497810399169,19.9763388738994,19.6392376617363,16.0852494981351,18.5108124628187,17.6386921567243,16.1829604654111,20.6597861932739,17.7817361154557,18.2067034681092,19.9408414273537,15.1587185421929,20.8857362904159,25.418827974918,24.4971673192307,19.8620222014094,19.4834341228864,18.3531926090705,19.5412704392726,16.6778483119098,25.1085014090918,18.6171717185468,24.7633733555751,21.2745006352614,18.5352640760012,17.8035958022049,20.7643667524139,16.8903583700636,18.23796466361,16.5841031293706,21.5774846053948,23.7889261875304,16.1893448081046,19.3325396460124,16.8421583777865,19.3325396460124,19.3325396460124,23.4288740056432,17.7158690101312,18.8380491124474
"CYSLTR1",6.38642972816149,4.50089455755806,4.46088791135256,5.27965389792803,10.1358302785128,10.3037421788142,6.72566115626847,7.0967544576788,7.27616673904278,8.77169680332126,10.5927101027071,7.20011179860323,6.81690684842211,7.88059714056542,4.84210862753159,5.33423524504592,6.56076867266786,6.65569891841735,5.28828442704116,6.59219392333446,6.76009364990488,7.35767056857356,9.26269365725814,6.50971001196182,7.02794886709048,6.28983299305049,8.81405336696512,7.8258082950383,6.69545593470665,7.6854646283492,5.89802610062823,8.29595286774895,7.04460520670674,5.49118346205518,8.46203179542494,8.43510402501553,4.10239519127013,4.38098333618516,5.20285509724115,4.75253319771969,8.07786192829494,8.66803706266213,12.3752357480169,11.2394590630429,8.11378653422642,6.53842987431635,8.30393397004732,7.30801746761535,4.73462523567383,6.49986037395644,5.89725080524677,6.88377643490078,6.24508972161197,7.3818361302214,7.13824067953208,5.87215781350904,7.84174595572841,5.79961674182011,6.13889900051667,5.81235689072948,6.74359054581262,7.18955963736375,6.78740202749438,4.86549117709215,8.82407874020224,6.17058436645282,4.64506543392342,9.27021292581973,5.22831015859359,4.65122257779834,4.80579931573773,4.20815204559631,5.02090867483096,5.70533214777248,5.20864429053604,7.58973009682334
